data,hora,municipio,causa_acidente,tipo_acidente,latitude,longitude
2020-06-19,13:50:00,MAGE,Falta de Atenção à Condução,Colisão traseira,-22.66151289,-43.04480692
2020-07-14,08:30:00,SAPUCAIA,Falta de Atenção à Condução,Colisão traseira,-21.87764485,-42.67025797
2020-07-23,16:30:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.76605928,-41.27368309
2020-08-01,08:10:00,PETROPOLIS,Falta de Atenção à Condução,Colisão traseira,-22.40941,-43.100292
2020-09-11,07:00:00,TRES RIOS,Falta de Atenção à Condução,Colisão traseira,-22.127502,-43.147022
2018-06-24,15:30:00,GUAPIMIRIM,Falta de Atenção à Condução,Colisão traseira,-22.666386,-43.027702
2018-07-18,14:10:00,VOLTA REDONDA,Falta de Atenção à Condução,Colisão traseira,-22.510941,-44.084461
2018-01-20,06:40:00,VOLTA REDONDA,Falta de Atenção à Condução,Colisão traseira,-22.512161,-44.0928
2018-11-12,14:45:00,PARAIBA DO SUL,Falta de Atenção à Condução,Colisão traseira,-22.20113367,-43.36578906
2019-05-22,16:00:00,ITALVA,Falta de Atenção à Condução,Colisão traseira,-21.3756,-41.69375
2019-10-27,14:00:00,CARMO,Falta de Atenção à Condução,Colisão traseira,-21.87424,-42.66758
2020-03-03,12:30:00,VOLTA REDONDA,Falta de Atenção à Condução,Colisão lateral,-22.47508022,-43.9983672
2020-03-18,18:00:00,SEROPEDICA,Falta de Atenção à Condução,Colisão lateral,-22.72050031,-43.70740458
2020-05-31,10:30:00,ITAGUAI,Falta de Atenção à Condução,Colisão lateral,-22.85141,-43.81199
2020-09-09,21:15:00,SAPUCAIA,Falta de Atenção à Condução,Colisão lateral,-21.990076,-42.905018
2020-10-14,16:30:00,ITABORAI,Falta de Atenção à Condução,Colisão lateral,-22.73124198,-42.95145305
2018-01-02,08:30:00,MAGE,Falta de Atenção à Condução,Colisão lateral,-22.65715,-43.070721
2018-03-06,14:00:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão lateral,-22.831354,-43.615128
2018-03-20,09:00:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão lateral,-22.839184,-43.610451
2018-06-24,21:45:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão lateral,-22.82555466,-43.6186409
2018-09-02,23:50:00,VASSOURAS,Falta de Atenção à Condução,Colisão lateral,-22.400957,-43.664425
2018-09-04,11:15:00,SEROPEDICA,Falta de Atenção à Condução,Colisão lateral,-22.79955983,-43.64443302
2018-09-13,09:00:00,SEROPEDICA,Falta de Atenção à Condução,Colisão lateral,-22.73470691,-43.71185303
2019-03-25,07:30:00,PETROPOLIS,Falta de Atenção à Condução,Colisão lateral,-22.3963,-43.12026
2019-04-17,12:30:00,ITAPERUNA,Falta de Atenção à Condução,Colisão lateral,-21.17503,-42.09718
2019-05-02,17:40:00,TRES RIOS,Falta de Atenção à Condução,Colisão lateral,-22.1275,-43.14702
2019-06-29,13:50:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão lateral,-22.85478,-43.60193
